Site,UTME,UTMN,Lat,Long
1,508021,6133345,55.346383,-110.8735182
2,506851,6134232,55.354371,-110.891946
3,491294,6135929,55.369591,-111.1373637
4,490524,6139684,55.403318,-111.1496401
5,528066,6140744,55.412131,-110.556696
6,526350,6138402,55.391182,-110.5840206
7,525611,6135595,55.365999,-110.5959438
8,520901,6134190,55.353597,-110.6703553
9,516274,6137938,55.387451,-110.743112
10,516261,6139753,55.40376,-110.7432115
12,522585,6144598,55.447045,-110.6429543
13,514900,6143859,55.440699,-110.7644843
14,511668,6146715,55.46645,-110.8154506
15,508732,6147178,55.470671,-110.8618737
16,506845,6154177,55.533592,-110.8915503
17,506718,6156256,55.552275,-110.8935119
18,504738,6157417,55.56273,-110.9248773
19,503532,6155872,55.548858,-110.9440186
20,495781,6156384,55.553453,-111.066878
21,492414,6163476,55.617138,-111.1204453
22,486222,6135687,55.3673,-111.2173776
23,487360,6140513,55.410696,-111.1996417
24,489323,6141583,55.420357,-111.1686783
25,501169,6133777,55.350329,-110.9815644
26,491362,6167822,55.656171,-111.1372847
27,493112,6172291,55.696354,-111.109584
29,496078,6168661,55.66377,-111.0623448
30,497856,6176433,55.733616,-111.0341422
31,500039,6176084,55.730485,-110.999379
32,524862,6174459,55.715246,-110.6042685
35,507352,6170675,55.681827,-110.8830774
36,507163,6175561,55.725733,-110.8859554
37,506391,6179454,55.760723,-110.8981556
38,508346,6182591,55.78888,-110.8669056
39,508626,6187785,55.835544,-110.8622757
40,510102,6189676,55.852507,-110.8386393
41,510493,6185669,55.816495,-110.8325486
42,512711,6185846,55.818032,-110.7971449
43,515013,6185432,55.814246,-110.7604304
44,518500,6185445,55.814242,-110.7047866
45,521618,6185550,55.815056,-110.6550237
46,524842,6185596,55.815314,-110.6035728
47,528034,6185876,55.817655,-110.5526078
48,530778,6186429,55.822457,-110.5087557
49,532295,6187485,55.831846,-110.4844186
50,534313,6188292,55.838957,-110.4521014
51,537393,6191911,55.871244,-110.4024251
52,541358,6191251,55.86499,-110.3391659
53,546659,6193934,55.888611,-110.2540101
54,545149,6189743,55.851102,-110.278848
55,544703,6185664,55.814495,-110.2866424
58,546659,6193934,55.888611,-110.2540101
59,508135,6152636,55.519725,-110.8711573
60,522093,6134612,55.357337,-110.6515225
61,508807,6184265,55.803913,-110.8594998
62,523138,6172034,55.693542,-110.6319138
63,493457,6135761,55.368115,-111.103232
64,539234,6191911,55.871098,-110.3730062
65,536733,6191048,55.86354145,-110.4130888
66,504769,6178128,55.74882803,-110.9240263
